window_id,W,phase,d_M1,d_M2,d_M3,T_log_M1,T_log_M2,T_log_M3,d_mean_3methods,T_log_mean_3methods
nonoverlap_60_0,60,declining,3.2841126722929834,3.2079570924789977,2.359641483951615,-2.931089387360934,-3.2428965714551974,-6.716192970277419,2.9505704162411988,-4.29672630969785
nonoverlap_60_60,60,declining,3.369898526558761,3.2079570924789977,2.052401354709304,-2.57985254143227,-3.2428965714551974,-7.974139922737091,2.876752324582354,-4.5989630118748535
nonoverlap_60_120,60,rising,6.652346058305988,3.2079570924789977,1.7115512501401375,10.859618660956345,-3.2428965714551974,-9.369697694912691,3.8572848003083746,-0.5843252018038481
nonoverlap_60_180,60,declining,2.146360083486363,3.2079570924789977,1.6094552299932174,-7.589440512495437,-3.2428965714551974,-9.787713979825751,2.3212574686528598,-6.873350354592129
nonoverlap_60_240,60,rising,2.8893307818523963,3.2079570924789977,1.8619624445471024,-4.547462473750113,-3.2428965714551974,-8.753862438995204,2.6530834396261658,-5.514740494733505
nonoverlap_60_300,60,declining,3.033754646238062,3.2079570924789977,2.6965345314748213,-3.9561414099475614,-3.2428965714551974,-5.336836753100348,2.9794154233972936,-4.178624911501036
nonoverlap_60_360,60,declining,1.7863713472108342,3.2079570924789977,1.541735857045011,-9.063358437326356,-3.2428965714551974,-10.064980426213332,2.1786880989116146,-7.457078478331629
nonoverlap_60_420,60,declining,4.401123626446423,3.2079570924789977,1.5582676637614403,1.6423383387197206,-3.2428965714551974,-9.997293513280212,3.0557827942289535,-3.8659505820052296
nonoverlap_60_480,60,unknown,,3.2079570924789977,1.4138952177184794,,-3.2428965714551974,-10.588404052670914,2.3109261550987386,-6.915650312063056
nonoverlap_60_540,60,unknown,,3.2079570924789977,2.3046909401565627,,-3.2428965714551974,-6.941179430455839,2.7563240163177802,-5.092038000955518
nonoverlap_60_600,60,rising,1.3791616224576493,3.2079570924789977,2.3672584488159867,-10.730615359553516,-3.2428965714551974,-6.685006491604343,2.318125721250878,-6.886172807537686
nonoverlap_60_660,60,rising,2.4588691038179284,3.2079570924789977,2.2378264304110584,-6.309920904455537,-3.2428965714551974,-7.214945772337991,2.6348842089026614,-5.589254416082909
nonoverlap_60_720,60,declining,2.0171712123934538,3.2079570924789977,1.4549964817955165,-8.118384264354303,-3.2428965714551974,-10.42012131559664,2.226708262222656,-7.260467383802047
nonoverlap_60_780,60,rising,1.6086857392728295,3.2079570924789977,2.7590761617289403,-9.790864539972452,-3.2428965714551974,-5.08076976935689,2.5252396644935895,-6.038176960261513
nonoverlap_60_840,60,declining,2.6035888717716973,3.2079570924789977,2.914747013961544,-5.71738830948798,-3.2428965714551974,-4.443399662021849,2.9087643260707465,-4.4678948476550095
nonoverlap_60_900,60,rising,1.4710256295847992,3.2079570924789977,1.9574752967716347,-10.354492461508537,-3.2428965714551974,-8.362799911867368,2.2121526729451437,-7.320062981610367
nonoverlap_60_960,60,rising,3.2259084317062534,3.2079570924789977,1.4558959246747734,-3.169397603305479,-3.2428965714551974,-10.416438686534928,2.629920482953341,-5.609577620431868
nonoverlap_60_1020,60,min,,3.2079570924789977,1.796729063221482,,-3.2428965714551974,-9.020950379101118,2.50234307785024,-6.131923475278158
nonoverlap_60_1080,60,declining,5.042224652126447,3.2079570924789977,1.7530004840359883,4.267226837047739,-3.2428965714551974,-9.199990249502942,3.3343940762138113,-2.7252199946368005
nonoverlap_60_1140,60,rising,2.979100405078323,3.2079570924789977,2.146688721634788,-4.179914705042313,-3.2428965714551974,-7.5880949546794945,2.7779154063973697,-5.003635410392335
nonoverlap_60_1200,60,declining,2.519438658581199,3.2079570924789977,2.104717122682901,-6.061928277274327,-3.2428965714551974,-7.75994114261592,2.6107042912476994,-5.688255330448482
nonoverlap_60_1260,60,declining,2.0467006656212425,3.2079570924789977,1.6308040649380602,-7.997480508105714,-3.2428965714551974,-9.700304493559559,2.295153941012767,-6.980227191040157
nonoverlap_60_1320,60,rising,2.3370384384416063,3.2079570924789977,1.8068371682012587,-6.808737626750982,-3.2428965714551974,-8.979564314442799,2.4506108997072875,-6.343732837549659
nonoverlap_60_1380,60,declining,8.24794599539452,3.2079570924789977,1.9123266350286472,17.3925545868567,-3.2428965714551974,-8.547654089566374,4.456076574300721,1.8673346419450432
nonoverlap_60_1440,60,rising,2.6814981333560404,3.2079570924789977,2.1405744229896717,-5.398400947973385,-3.2428965714551974,-7.613129000088929,2.6766765496082363,-5.418142173172503
nonoverlap_60_1500,60,declining,2.1380414241763845,3.2079570924789977,2.2002708304319474,-7.623499970006226,-3.2428965714551974,-7.368711338893453,2.5154231156957767,-6.078369293451625
nonoverlap_60_1560,60,min,,3.2079570924789977,2.1274790868128197,,-3.2428965714551974,-7.666745818555094,2.6677180896459087,-5.454821195005145
nonoverlap_60_1620,60,max,,3.2079570924789977,1.5976939632165195,,-3.2428965714551974,-9.835868658497768,2.4028255278477584,-6.539382614976483
nonoverlap_60_1680,60,min,,3.2079570924789977,1.0293168915655788,,-3.2428965714551974,-12.163000231103519,2.1186369920222883,-7.702948401279358
nonoverlap_60_1740,60,max,,3.2079570924789977,2.074106626575128,,-3.2428965714551974,-7.885271060901703,2.6410318595270628,-5.56408381617845
nonoverlap_60_1800,60,declining,2.3092209150605334,3.2079570924789977,2.2871740719017635,-6.922632152340764,-3.2428965714551974,-7.012899524742037,2.601450693147098,-5.7261427495126656
nonoverlap_60_1860,60,rising,3.721068032738601,3.2079570924789977,2.583760706179198,-1.142043583386622,-3.2428965714551974,-5.798571651460468,3.1709286104655994,-3.3945039354340962
nonoverlap_60_1920,60,declining,2.0047357104209493,3.2079570924789977,2.0757719613590266,-8.169299494233929,-3.2428965714551974,-7.878452606484967,2.4294882547529912,-6.430216224058031
nonoverlap_60_1980,60,rising,2.4622000272857525,3.2079570924789977,1.4394957508394135,-6.2962829560678735,-3.2428965714551974,-10.483586649097228,2.369884290201388,-6.674255392206767
nonoverlap_60_2040,60,declining,2.7443210689379405,3.2079570924789977,1.6914100503635008,-5.141182203290803,-3.2428965714551974,-9.452162706694793,2.5478960705934797,-5.945413827146932
nonoverlap_60_2100,60,rising,2.6890986653752105,3.2079570924789977,1.5069670737241019,-5.367281751030701,-3.2428965714551974,-10.207335805138374,2.468007610526103,-6.27250470920809
nonoverlap_60_2160,60,declining,2.6186421141353304,3.2079570924789977,2.3325256549766062,-5.655755148472626,-3.2428965714551974,-6.827214517191391,2.719708287196978,-5.241955412373071
nonoverlap_60_2220,60,min,,3.2079570924789977,1.7667348257751851,,-3.2428965714551974,-9.143757122087363,2.4873459591270914,-6.1933268467712805
nonoverlap_60_2280,60,declining,3.751677043032772,3.2079570924789977,1.837343080537587,-1.0167197485336827,-3.2428965714551974,-8.85466259815293,2.9323257386831187,-4.37142630604727
nonoverlap_60_2340,60,min,,3.2079570924789977,1.7002442002371758,,-3.2428965714551974,-9.415992653197657,2.4541006463580866,-6.329444612326427
nonoverlap_60_2400,60,declining,2.151678430825654,3.2079570924789977,1.8281011827341551,-7.567665365986804,-3.2428965714551974,-8.892502112169023,2.395912235346269,-6.567688016537008
nonoverlap_60_2460,60,min,,3.2079570924789977,1.3929027832786887,,-3.2428965714551974,-10.674354312467274,2.3004299378788433,-6.958625441961236
nonoverlap_60_2520,60,declining,1.980580380373037,3.2079570924789977,1.4084648610675208,-8.26819973846428,-3.2428965714551974,-10.610637803895692,2.1990007779731853,-7.373911371271723
nonoverlap_60_2580,60,declining,3.671293082364628,3.2079570924789977,1.6038695615853418,-1.3458393807851734,-3.2428965714551974,-9.810583630897913,2.827706578809656,-4.799773194379427
nonoverlap_60_2640,60,max,,3.2079570924789977,1.7769295337833748,,-3.2428965714551974,-9.102016474790588,2.4924433131311865,-6.172456523122893
nonoverlap_60_2700,60,declining,1.9586508751112552,3.2079570924789977,1.825951727041911,-8.357986689085076,-3.2428965714551974,-8.9013027243943,2.330853231544055,-6.834061994978192
nonoverlap_60_2760,60,rising,2.1398284470784743,3.2079570924789977,2.679255892991147,-7.616183282504489,-3.2428965714551974,-5.40758145261858,2.6756804775162064,-5.422220435526089
nonoverlap_60_2820,60,declining,2.190240884652137,3.2079570924789977,2.044624989326489,-7.409777392856402,-3.2428965714551974,-8.005979042056072,2.4809409888192078,-6.219551002122557
nonoverlap_60_2880,60,max,,3.2079570924789977,1.7032604240120333,,-3.2428965714551974,-9.403643193786625,2.4556087582455155,-6.323269882620911
nonoverlap_60_2940,60,declining,2.89454331214044,3.2079570924789977,1.8466555569681304,-4.526120578709844,-3.2428965714551974,-8.816534110918713,2.649718653862523,-5.528517087027918
nonoverlap_60_3000,60,rising,2.414045578394847,3.2079570924789977,2.466454609049644,-6.493443862031155,-3.2428965714551974,-6.278863232358354,2.696152426641163,-5.338401221948236
nonoverlap_60_3060,60,declining,2.009232704868618,3.2079570924789977,2.1629665299272034,-8.150887249470774,-3.2428965714551974,-7.52144799881255,2.4600521090916065,-6.305077273246174
nonoverlap_60_3120,60,min,,3.2079570924789977,1.7602488410089925,,-3.2428965714551974,-9.170312978545478,2.484102966743995,-6.206604775000338
nonoverlap_60_3180,60,max,,3.2079570924789977,1.710599261371199,,-3.2428965714551974,-9.373595464952091,2.4592781769250984,-6.308246018203644
nonoverlap_132_0,132,declining,6.465595582804662,2.6771890149465656,2.608388665747841,12.039014852039065,-6.459024021037281,-6.794962498379427,3.917057754499689,-0.40499055579254745
nonoverlap_132_132,132,declining,5.262982873465228,2.6771890149465656,1.3030490244158897,6.166895202749675,-6.459024021037281,-13.168677408703283,3.0810736376092276,-4.486935408996963
nonoverlap_132_264,132,declining,8.695404751813994,2.6771890149465656,2.3696111631235532,22.92673134947855,-6.459024021037281,-7.960865747263671,4.580734976628038,2.835613860392533
nonoverlap_132_396,132,min,,2.6771890149465656,2.003773470761633,,-6.459024021037281,-9.747178734883017,2.340481242854099,-8.103101377960149
nonoverlap_132_528,132,max,,2.6771890149465656,2.224765550032517,,-6.459024021037281,-8.668118185342784,2.450977282489541,-7.563571103190032
nonoverlap_132_660,132,declining,2.403139942895802,2.6771890149465656,1.3222403582687368,-7.797151356929761,-6.459024021037281,-13.074969926869603,2.1341897720370344,-9.110381768278883
nonoverlap_132_792,132,declining,2.757411403527487,2.6771890149465656,2.5965414378904446,-6.067313987839888,-6.459024021037281,-6.85281016533884,2.6770472854548326,-6.459716058072003
nonoverlap_132_924,132,rising,,2.6771890149465656,2.110659407646542,,-6.459024021037281,-9.225275876763938,2.3939242112965538,-7.842149948900609
nonoverlap_132_1056,132,declining,7.612073333297056,2.6771890149465656,2.430069259883197,17.637038616345826,-6.459024021037281,-7.665660836169768,4.2397772027089395,1.170784586379593
nonoverlap_132_1188,132,declining,2.6182446517447575,2.6771890149465656,2.074282402733561,-6.746837671004698,-6.459024021037281,-9.402897586290974,2.456572023141628,-7.536253092777652
nonoverlap_132_1320,132,declining,3.2175003110384104,2.6771890149465656,2.4824281393070904,-3.8207909856848867,-6.459024021037281,-7.410002799054315,2.7923724884306886,-5.896605935258827
nonoverlap_132_1452,132,declining,3.5124319361491514,2.6771890149465656,2.1890820338663888,-2.3806982795626377,-6.459024021037281,-8.842353726683397,2.792900994987369,-5.8940253424277715
nonoverlap_132_1584,132,max,,2.6771890149465656,2.0861712823856178,,-6.459024021037281,-9.344846541868513,2.3816801486660917,-7.9019352814528965
nonoverlap_132_1716,132,declining,2.7488592291419307,2.6771890149465656,1.9182077477883508,-6.109072561371974,-6.459024021037281,-10.16497921152445,2.448085330625616,-7.577691931311235
nonoverlap_132_1848,132,max,,2.6771890149465656,2.454207919294688,,-6.459024021037281,-7.547796543586682,2.565698467120627,-7.0034102823119815
nonoverlap_132_1980,132,max,,2.6771890149465656,2.031488553794381,,-6.459024021037281,-9.611851474166073,2.3543387843704733,-8.035437747601677
nonoverlap_132_2112,132,max,,2.6771890149465656,1.9891160141708188,,-6.459024021037281,-9.81874819210487,2.333152514558692,-8.138886106571075
nonoverlap_132_2244,132,declining,4.1788741909407685,2.6771890149465656,1.7543634423951346,0.873407243426666,-6.459024021037281,-10.964998500903276,2.8701422160941568,-5.516871759504631
nonoverlap_132_2376,132,declining,3.795386259007944,2.6771890149465656,1.9570589087310368,-0.9990883679036001,-6.459024021037281,-9.97527668817879,2.809878060895182,-5.811129692373224
nonoverlap_132_2508,132,declining,5.5299545360409885,2.6771890149465656,1.9154298111510808,7.470464950050677,-6.459024021037281,-10.178543325877735,3.374191120712878,-3.0557007989547795
nonoverlap_132_2640,132,declining,11.391745185082362,2.6771890149465656,2.129948078053901,36.09242760098871,-6.459024021037281,-9.13109311981475,5.399627426027609,6.834103486712226
nonoverlap_132_2772,132,declining,3.7210451881520044,2.6771890149465656,2.682912904020337,-1.3620810916061123,-6.459024021037281,-6.431075404463197,3.0270490357063022,-4.75072683903553
nonoverlap_132_2904,132,declining,4.261049436108643,2.6771890149465656,2.6945387930089617,1.2746526885213714,-6.459024021037281,-6.374308491357765,3.21092574802139,-3.852893274624558
nonoverlap_132_3036,132,declining,5.146351809603048,2.6771890149465656,1.7484344905356006,5.597408819890127,-6.459024021037281,-10.99394839844193,3.1906584383617385,-3.951854533196361
nonoverlap_264_0,264,rising,,3.4050404065289115,2.059834609939054,,-3.317464411623413,-10.818263466665854,2.732437508233983,-7.067863939144633
nonoverlap_264_264,264,declining,,3.4050404065289115,2.534301749073933,,-3.317464411623413,-8.17265884773433,2.969671077801422,-5.745061629678871
nonoverlap_264_528,264,rising,,3.4050404065289115,1.8577476341460208,,-3.317464411623413,-11.94509015809657,2.631394020337466,-7.631277284859991
nonoverlap_264_792,264,min,,3.4050404065289115,2.190275810491086,,-3.317464411623413,-10.090929971434422,2.7976581085099985,-6.704197191528918
nonoverlap_264_1056,264,rising,,3.4050404065289115,1.8778716560732966,,-3.317464411623413,-11.832879636079477,2.641456031301104,-7.5751720238514455
nonoverlap_264_1320,264,min,,3.4050404065289115,2.3499717036055574,,-3.317464411623413,-9.200473799446636,2.8775060550672347,-6.258969105535025
nonoverlap_264_1584,264,rising,,3.4050404065289115,2.0872063342915332,,-3.317464411623413,-10.665640124811079,2.7461233704102224,-6.991552268217246
nonoverlap_264_1848,264,declining,,3.4050404065289115,2.194003015229758,,-3.317464411623413,-10.070147267514583,2.7995217108793344,-6.6938058395689986
nonoverlap_264_2112,264,min,,3.4050404065289115,1.8198349992355887,,-3.317464411623413,-12.156489080723306,2.61243770288225,-7.73697674617336
nonoverlap_264_2376,264,rising,,3.4050404065289115,1.8572028563648664,,-3.317464411623413,-11.948127811276812,2.631121631446889,-7.632796111450112
nonoverlap_264_2640,264,rising,,3.4050404065289115,2.5391431973282903,,-3.317464411623413,-8.145663178682515,2.9720918019286007,-5.731563795152963
nonoverlap_264_2904,264,rising,,3.4050404065289115,2.4186209417942703,,-3.317464411623413,-8.817689141336604,2.9118306741615907,-6.067576776480008
